# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       211	              pi+	  0.14000	0.00000e+00	1	0	  0	0	0	1	  1	  1	0.000643493
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    1.98298e-01	    1.40000e-01	    5.35685e-02	    1.12302e-01	    2.60765e-03	    9.46174e-03	    1.91539e-03	   -7.88308e-03	    2.44205e-02	    1.61769e-01	    6.77734e-01	    1.14315e-02	    4.27063e-02	    1.91621e-02
    2.02068e-01	    1.40000e-01	    5.33563e-02	    1.11615e-01	    2.59509e-03	    9.64116e-03	    1.99191e-03	   -8.09824e-03	    2.41664e-02	    1.63378e-01	    6.74429e-01	    1.14769e-02	    4.23074e-02	    1.94727e-02
    2.05844e-01	    1.40000e-01	    5.31315e-02	    1.10879e-01	    2.58318e-03	    9.81291e-03	    2.07490e-03	   -8.29719e-03	    2.39000e-02	    1.64931e-01	    6.70785e-01	    1.15223e-02	    4.19015e-02	    1.97748e-02
    2.09626e-01	    1.40000e-01	    5.28947e-02	    1.10096e-01	    2.57227e-03	    9.97697e-03	    2.16408e-03	   -8.48048e-03	    2.36214e-02	    1.66426e-01	    6.66821e-01	    1.15678e-02	    4.14896e-02	    2.00678e-02
    2.13413e-01	    1.40000e-01	    5.26461e-02	    1.09271e-01	    2.56264e-03	    1.01333e-02	    2.25915e-03	   -8.64867e-03	    2.33311e-02	    1.67857e-01	    6.62555e-01	    1.16135e-02	    4.10723e-02	    2.03511e-02
    2.17206e-01	    1.40000e-01	    5.23860e-02	    1.08404e-01	    2.55455e-03	    1.02820e-02	    2.35976e-03	   -8.80235e-03	    2.30292e-02	    1.69224e-01	    6.58004e-01	    1.16595e-02	    4.06504e-02	    2.06245e-02
    2.21006e-01	    1.40000e-01	    5.21148e-02	    1.07498e-01	    2.54822e-03	    1.04230e-02	    2.46556e-03	   -8.94211e-03	    2.27162e-02	    1.70521e-01	    6.53184e-01	    1.17057e-02	    4.02247e-02	    2.08874e-02
    2.24811e-01	    1.40000e-01	    5.18327e-02	    1.06556e-01	    2.54384e-03	    1.05564e-02	    2.57616e-03	   -9.06856e-03	    2.23926e-02	    1.71747e-01	    6.48114e-01	    1.17522e-02	    3.97956e-02	    2.11394e-02
    2.28622e-01	    1.40000e-01	    5.15400e-02	    1.05580e-01	    2.54157e-03	    1.06823e-02	    2.69119e-03	   -9.18230e-03	    2.20587e-02	    1.72901e-01	    6.42808e-01	    1.17989e-02	    3.93639e-02	    2.13804e-02
    2.32440e-01	    1.40000e-01	    5.12370e-02	    1.04573e-01	    2.54153e-03	    1.08008e-02	    2.81025e-03	   -9.28395e-03	    2.17150e-02	    1.73978e-01	    6.37283e-01	    1.18456e-02	    3.89300e-02	    2.16099e-02
    2.36265e-01	    1.40000e-01	    5.09239e-02	    1.03535e-01	    2.54382e-03	    1.09120e-02	    2.93295e-03	   -9.37409e-03	    2.13621e-02	    1.74980e-01	    6.31555e-01	    1.18924e-02	    3.84946e-02	    2.18277e-02
    2.40095e-01	    1.40000e-01	    5.06009e-02	    1.02470e-01	    2.54852e-03	    1.10159e-02	    3.05889e-03	   -9.45331e-03	    2.10005e-02	    1.75903e-01	    6.25637e-01	    1.19391e-02	    3.80580e-02	    2.20337e-02
    2.43933e-01	    1.40000e-01	    5.02683e-02	    1.01380e-01	    2.55566e-03	    1.11128e-02	    3.18767e-03	   -9.52218e-03	    2.06307e-02	    1.76747e-01	    6.19544e-01	    1.19856e-02	    3.76207e-02	    2.22277e-02
    2.47777e-01	    1.40000e-01	    4.99263e-02	    1.00266e-01	    2.56528e-03	    1.12027e-02	    3.31892e-03	   -9.58127e-03	    2.02532e-02	    1.77512e-01	    6.13291e-01	    1.20318e-02	    3.71832e-02	    2.24095e-02
    2.51628e-01	    1.40000e-01	    4.95752e-02	    9.91304e-02	    2.57738e-03	    1.12858e-02	    3.45224e-03	   -9.63112e-03	    1.98687e-02	    1.78197e-01	    6.06890e-01	    1.20775e-02	    3.67458e-02	    2.25790e-02
    2.55487e-01	    1.40000e-01	    4.92153e-02	    9.79752e-02	    2.59195e-03	    1.13622e-02	    3.58727e-03	   -9.67225e-03	    1.94777e-02	    1.78801e-01	    6.00354e-01	    1.21225e-02	    3.63089e-02	    2.27363e-02
    2.59352e-01	    1.40000e-01	    4.88467e-02	    9.68022e-02	    2.60896e-03	    1.14321e-02	    3.72365e-03	   -9.70518e-03	    1.90808e-02	    1.79325e-01	    5.93696e-01	    1.21668e-02	    3.58727e-02	    2.28813e-02
    2.63225e-01	    1.40000e-01	    4.84697e-02	    9.56130e-02	    2.62836e-03	    1.14956e-02	    3.86103e-03	   -9.73039e-03	    1.86786e-02	    1.79769e-01	    5.86927e-01	    1.22102e-02	    3.54377e-02	    2.30139e-02
    2.67105e-01	    1.40000e-01	    4.80846e-02	    9.44093e-02	    2.65010e-03	    1.15529e-02	    3.99907e-03	   -9.74837e-03	    1.82716e-02	    1.80133e-01	    5.80059e-01	    1.22525e-02	    3.50040e-02	    2.31342e-02
    2.70992e-01	    1.40000e-01	    4.76917e-02	    9.31927e-02	    2.67412e-03	    1.16042e-02	    4.13746e-03	   -9.75956e-03	    1.78603e-02	    1.80419e-01	    5.73102e-01	    1.22936e-02	    3.45719e-02	    2.32423e-02
    2.74887e-01	    1.40000e-01	    4.72911e-02	    9.19648e-02	    2.70033e-03	    1.16496e-02	    4.27587e-03	   -9.76440e-03	    1.74454e-02	    1.80626e-01	    5.66066e-01	    1.23334e-02	    3.41416e-02	    2.33382e-02
    2.78790e-01	    1.40000e-01	    4.68832e-02	    9.07271e-02	    2.72865e-03	    1.16892e-02	    4.41402e-03	   -9.76331e-03	    1.70274e-02	    1.80755e-01	    5.58963e-01	    1.23716e-02	    3.37134e-02	    2.34221e-02
    2.82701e-01	    1.40000e-01	    4.64682e-02	    8.94809e-02	    2.75899e-03	    1.17233e-02	    4.55163e-03	   -9.75670e-03	    1.66069e-02	    1.80808e-01	    5.51800e-01	    1.24082e-02	    3.32874e-02	    2.34941e-02
    2.86620e-01	    1.40000e-01	    4.60463e-02	    8.82277e-02	    2.79125e-03	    1.17519e-02	    4.68843e-03	   -9.74494e-03	    1.61842e-02	    1.80786e-01	    5.44586e-01	    1.24430e-02	    3.28638e-02	    2.35542e-02
    2.90547e-01	    1.40000e-01	    4.56180e-02	    8.69687e-02	    2.82534e-03	    1.17754e-02	    4.82416e-03	   -9.72839e-03	    1.57601e-02	    1.80689e-01	    5.37331e-01	    1.24759e-02	    3.24427e-02	    2.36028e-02
    2.94483e-01	    1.40000e-01	    4.51834e-02	    8.57052e-02	    2.86114e-03	    1.17937e-02	    4.95860e-03	   -9.70742e-03	    1.53349e-02	    1.80520e-01	    5.30042e-01	    1.25068e-02	    3.20243e-02	    2.36398e-02
    2.98426e-01	    1.40000e-01	    4.47428e-02	    8.44383e-02	    2.89856e-03	    1.18071e-02	    5.09152e-03	   -9.68235e-03	    1.49091e-02	    1.80279e-01	    5.22727e-01	    1.25355e-02	    3.16088e-02	    2.36656e-02
    3.02379e-01	    1.40000e-01	    4.42965e-02	    8.31693e-02	    2.93747e-03	    1.18157e-02	    5.22270e-03	   -9.65350e-03	    1.44832e-02	    1.79968e-01	    5.15393e-01	    1.25619e-02	    3.11961e-02	    2.36804e-02
