#      Name	     Mass	    Gamma	 Spin	Isospin	   I3	Nq	Ns	Naq	Nas	Nc	Nac	       MC	   Nyield	MassLower
# Dc1865zer	 1.864600	0.00000e+00	  0.0	  0.5	  0.5	0	0	1	0	1	0	      421	3.22736e-07	   1.8646
# 1:pbar [GeV]	2:m [GeV]	3:feq 1	4:feq 2	5:fshear 1	6:fshear 2	7:fshear 3	8:fbulk 1	9:fbulk 2	10:ftemperature 1	11:ftemperature 2	12:fvelocity 1	13:fvelocity 2	14:fvelocity 3 	15:fdiff 1	16:fdiff 2	17:fdiff3
    1.52916e-01	    1.86460e+00	    4.16162e-06	    4.44207e-06	    1.06312e-07	    5.59383e-07	    1.14373e-07	    8.07918e-06	    8.82833e-06	    5.58917e-05	    6.01907e-05	    6.65186e-07	    2.27097e-06	    7.12663e-07	    6.65184e-07	    2.27097e-06	    7.12661e-07
    1.55963e-01	    1.86460e+00	    4.23738e-06	    4.52286e-06	    1.12604e-07	    5.73874e-07	    1.21139e-07	    8.22291e-06	    8.98530e-06	    5.69159e-05	    6.12926e-05	    6.90788e-07	    2.29371e-06	    7.40081e-07	    6.90786e-07	    2.29370e-06	    7.40079e-07
    1.59012e-01	    1.86460e+00	    4.31280e-06	    4.60329e-06	    1.19133e-07	    5.88563e-07	    1.28161e-07	    8.36578e-06	    9.14135e-06	    5.79360e-05	    6.23899e-05	    7.16829e-07	    2.31683e-06	    7.67967e-07	    7.16827e-07	    2.31683e-06	    7.67965e-07
    1.62064e-01	    1.86460e+00	    4.38787e-06	    4.68335e-06	    1.25904e-07	    6.03453e-07	    1.35443e-07	    8.50780e-06	    9.29645e-06	    5.89517e-05	    6.34825e-05	    7.43305e-07	    2.34034e-06	    7.96319e-07	    7.43303e-07	    2.34033e-06	    7.96317e-07
    1.65119e-01	    1.86460e+00	    4.46259e-06	    4.76303e-06	    1.32921e-07	    6.18549e-07	    1.42989e-07	    8.64893e-06	    9.45058e-06	    5.99632e-05	    6.45704e-05	    7.70213e-07	    2.36422e-06	    8.25132e-07	    7.70211e-07	    2.36422e-06	    8.25130e-07
    1.68177e-01	    1.86460e+00	    4.53695e-06	    4.84232e-06	    1.40188e-07	    6.33852e-07	    1.50804e-07	    8.78917e-06	    9.60373e-06	    6.09702e-05	    6.56535e-05	    7.97549e-07	    2.38848e-06	    8.54403e-07	    7.97547e-07	    2.38848e-06	    8.54401e-07
    1.71238e-01	    1.86460e+00	    4.61095e-06	    4.92122e-06	    1.47708e-07	    6.49366e-07	    1.58891e-07	    8.92850e-06	    9.75589e-06	    6.19727e-05	    6.67317e-05	    8.25311e-07	    2.41311e-06	    8.84127e-07	    8.25308e-07	    2.41311e-06	    8.84125e-07
    1.74302e-01	    1.86460e+00	    4.68458e-06	    4.99972e-06	    1.55486e-07	    6.65093e-07	    1.67253e-07	    9.06691e-06	    9.90703e-06	    6.29707e-05	    6.78049e-05	    8.53493e-07	    2.43811e-06	    9.14302e-07	    8.53491e-07	    2.43811e-06	    9.14300e-07
    1.77369e-01	    1.86460e+00	    4.75783e-06	    5.07781e-06	    1.63524e-07	    6.81038e-07	    1.75896e-07	    9.20438e-06	    1.00571e-05	    6.39640e-05	    6.88730e-05	    8.82093e-07	    2.46348e-06	    9.44922e-07	    8.82090e-07	    2.46348e-06	    9.44920e-07
    1.80439e-01	    1.86460e+00	    4.83069e-06	    5.15549e-06	    1.71826e-07	    6.97202e-07	    1.84824e-07	    9.34089e-06	    1.02062e-05	    6.49525e-05	    6.99359e-05	    9.11106e-07	    2.48920e-06	    9.75984e-07	    9.11103e-07	    2.48920e-06	    9.75981e-07
